"###Public_4###"
"ID","Date/Time","Action","Message","SSID","AP"
" 1 ","2023-07-16 17:30:08","auth-resp","AP sent authentication response frame to client 82:6e:af:9f:42:67","Hunt Center Public WiFi","HuntCenter_Lobby_AP"
" 2 ","2023-07-16 17:33:44","DHCP-DISCOVER","DHCP DISCOVER from client 2c:fd:ab:e7:99:b3","HSPD Public WiFi","LEC_Small_ConfRoom_AP"
" 3 ","2023-07-16 17:18:11","client-authentication","Client 9a:fe:11:20:49:3e authenticated.","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 4 ","2023-07-16 17:18:12","auth-req","AP received authentication request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 5 ","2023-07-16 17:18:12","reassoc-req","AP received reassociation request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 6 ","2023-07-16 17:18:14","client-authentication","Client 02:11:4b:94:68:bd authenticated.","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 7 ","2023-07-16 17:18:15","auth-req","AP received authentication request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 8 ","2023-07-16 17:18:15","reassoc-req","AP received reassociation request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 9 ","2023-07-16 17:18:11","client-ip-detected","Client 9a:fe:11:20:49:3e had an IP address detected (by IP packets).","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 10 ","2023-07-16 17:18:12","auth-resp","AP sent authentication response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 11 ","2023-07-16 17:18:12","reassoc-resp","AP sent reassociation response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Parking_Outdoor"
" 12 ","2023-07-16 17:18:14","client-ip-detected","Client 02:11:4b:94:68:bd had an IP address detected (by IP packets).","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 13 ","2023-07-16 17:18:15","auth-resp","AP sent authentication response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 14 ","2023-07-16 17:18:15","reassoc-resp","AP sent reassociation response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 15 ","2023-07-16 17:18:19","client-ip-detected","Client 9a:fe:11:20:49:3e had an IP address detected (by IP packets).","Bass Lake Public WiFi","BassLake_Office_AP"
" 16 ","2023-07-16 17:18:20","auth-req","AP received authentication request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Office_AP"
" 17 ","2023-07-16 17:18:20","reassoc-req","AP received reassociation request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Office_AP"
" 18 ","2023-07-16 17:18:19","client-authentication","Client 9a:fe:11:20:49:3e authenticated.","Bass Lake Public WiFi","BassLake_Office_AP"
" 19 ","2023-07-16 17:18:20","auth-resp","AP sent authentication response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Office_AP"
" 20 ","2023-07-16 17:18:20","reassoc-resp","AP sent reassociation response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Office_AP"
" 21 ","2023-07-16 17:18:26","client-disconnected-by-wtp","Client 82:0d:02:63:92:d2 disconnected by WTP.","Cultural Center Public WiFi","CC_Dance_AP"
" 22 ","2023-07-16 17:18:47","client-disconnected-by-wtp","Client 56:0d:00:da:14:89 disconnected by WTP.","Town Hall Public WiFi","Town Hall Council AP"
" 23 ","2023-07-16 17:18:52","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.7 from client 74:e2:0c:04:72:8a","Town Hall Public WiFi","Town Hall Engineering"
" 24 ","2023-07-16 17:18:52","DHCP-ACK","DHCP ACK for IP 172.17.0.7 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 74:e2:0c:04:72:8a from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Engineering"
" 25 ","2023-07-16 17:18:56","auth-req","AP received authentication request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Conf_AP"
